action,annotation_id,annotator,batch,corrected_action,created_at,dataset_rows_covered_if_validated,global_rank,high_priority_reason,high_priority_review,historical_bad_count,historical_bad_rate,historical_checked_count,id,lead_time,narration_text,normalized_narration_stage2,reasoning,round,scenario,secondary_action,status,timestamp_sec,updated_at,verdict,video_uid,watchlist_hit
Locomotion,14030,6,6,,2026-03-03T21:39:02.394883Z,5,4277,watchlist_verb,yes,0,0.0,0,1150065,0.655,#C C moves beside the vehicle,moves beside vehicle,Movement through space to a new location.,r002,Mechanical Repair,,silver,153.5774296,2026-03-03T21:39:02.394916Z,Gold,cb6239fb-c4ba-4e64-9e23-9a6a935568e5,yes
Essential Operation,14031,6,6,,2026-03-03T21:39:05.566940Z,6,4053,,no,0,0.0,0,1150066,2.198,#C C turns a nut by hand,turns nut by hand,Core manual task involving high hand activity.,r002,Mechanical Repair,,silver,156.8146496,2026-03-03T21:39:05.566966Z,Gold,cb6239fb-c4ba-4e64-9e23-9a6a935568e5,no
Object Transfer,14032,6,6,,2026-03-03T21:39:08.014257Z,5,5319,,no,0,0.0,0,1150067,1.701,#C C puts a nut on the left hand,puts nut on left hand,Logistics step involving picking up or placing an object.,r002,Mechanical Repair,,silver,172.0542296,2026-03-03T21:39:08.014279Z,Gold,cb6239fb-c4ba-4e64-9e23-9a6a935568e5,no
Object Transfer,14033,6,6,,2026-03-03T21:39:09.842576Z,8,2393,,no,0,0.0,0,1150068,0.828,#C C takes a spanner,takes spanner,"Logistics/Setup step, picking up an object.",r002,Mechanical Repair,,silver,230.2437896,2026-03-03T21:39:09.842592Z,Gold,cb6239fb-c4ba-4e64-9e23-9a6a935568e5,no
Locomotion,14034,6,6,,2026-03-03T21:39:10.806613Z,4,8151,,no,0,0.0,0,1150069,0.412,#C C stands from the floor,stands from floor,Body movement through space (standing up).,r002,Mechanical Repair,,silver,269.9913796,2026-03-03T21:39:10.806635Z,Gold,cb6239fb-c4ba-4e64-9e23-9a6a935568e5,no
Object Transfer,14035,6,6,,2026-03-03T21:39:14.258808Z,6,4034,,no,0,0.0,0,1150070,0.856,#C C takes a sachet,takes sachet,Logistics/Setup step involving picking up an object.,r002,Mechanical Repair,,silver,470.2240509546634,2026-03-03T21:39:14.258822Z,Gold,cb6239fb-c4ba-4e64-9e23-9a6a935568e5,no
Search,14036,6,6,,2026-03-03T21:39:15.238244Z,6,3518,,no,0,0.0,0,1150071,0.472,#C C looks at the spanner,looks at spanner,"Head movement (visual inspection), passive hands.",r002,Mechanical Repair,,silver,493.7215409546634,2026-03-03T21:39:15.238261Z,Gold,cb6239fb-c4ba-4e64-9e23-9a6a935568e5,no
Locomotion,14037,6,6,,2026-03-03T21:39:17.094626Z,6,4082,,no,0,0.0,0,1150072,1.143,#C C walks beside the wall,walks beside wall,"Body moving through space, indicative of walking.",r002,Mechanical Repair,,silver,520.1870409546634,2026-03-03T21:39:17.094649Z,Gold,cb6239fb-c4ba-4e64-9e23-9a6a935568e5,no
Object Transfer,14038,6,6,,2026-03-03T21:39:20.342037Z,6,3914,,no,0,0.0,0,1150073,0.711,#C C removes clothe from washing machine,removes clothe from washing machine,Logistics step involving picking up or removing an object.,r002,Cleaning,,silver,7.8684186,2026-03-03T21:39:20.342063Z,Gold,cbe34c13-e91f-4d2f-a902-c011503b6a8f,no
Object Transfer,14039,6,6,,2026-03-03T21:39:21.590366Z,3,11666,,no,0,0.0,0,1150074,0.617,#C C places the detergent bottle on the counter,places detergent bottle on counter,Logistics step involving picking up and placing an object.,r002,Cooking,,silver,62.22649526666667,2026-03-03T21:39:21.590389Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,no
Object Transfer,14040,6,6,,2026-03-03T21:39:22.761510Z,8,2029,watchlist_verb,yes,0,0.0,0,1150075,0.671,#C C opens a kitchen tap with the right hand,opens kitchen tap with right hand,Logistics step involving opening a tap.,r002,Cooking,,silver,432.6184952666667,2026-03-03T21:39:22.761526Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,yes
Object Transfer,14041,6,6,,2026-03-03T21:39:24.394610Z,4,7322,,no,0,0.0,0,1150076,0.643,#C C places a container on the kitchen top,places container on kitchen top,Logistics step involving pick-up/put-down action.,r002,Cooking,,silver,468.3803652666667,2026-03-03T21:39:24.394639Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,no
Essential Operation,14042,6,6,,2026-03-03T21:39:25.722676Z,7,2463,watchlist_verb,yes,0,0.0,0,1150077,0.73,#C C closes a kitchen tap with the right hand,closes kitchen tap with right hand,Closing a tap is a core manual task involving high hand activity.,r002,Cooking,,silver,489.56908526666666,2026-03-03T21:39:25.722701Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,yes
Object Transfer,14069,6,6,,2026-03-03T21:40:41.499577Z,4,7331,,no,0,0.0,0,1150078,1.007,#C C places dish on the counter top,places dish on counter top,"Logistics step, placing an object.",r002,Cooking,,silver,637.9159052666668,2026-03-03T21:40:41.499627Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,no
Stationary,14070,6,6,,2026-03-03T21:40:42.971899Z,5,4202,watchlist_verb,yes,0,0.0,0,1150079,0.864,#C C holds glove with the right hand,holds glove with right hand,"Low body/hand motion, holding an object without movement.",r002,Cooking,,silver,820.4987252666667,2026-03-03T21:40:42.971924Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,yes
Essential Operation,14071,6,6,,2026-03-03T21:40:43.800849Z,4,8501,,no,0,0.0,0,1150080,0.376,#C C wipes on the counter using a sponge,wipes on counter using sponge,Core task involving high hand activity.,r002,Cooking,,silver,860.7596752666667,2026-03-03T21:40:43.800868Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,no
Object Transfer,14072,6,6,,2026-03-03T21:40:44.713688Z,3,11808,,no,0,0.0,0,1150081,0.368,#C C places the sponge on the counter,places sponge on counter,"Logistics step, placing object on a surface.",r002,Cooking,,silver,878.3771552666667,2026-03-03T21:40:44.713712Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,no
Object Transfer,14073,6,6,,2026-03-03T21:40:45.554255Z,4,7212,,no,0,0.0,0,1150082,0.349,#C C picks a spoon on the counter,picks spoon on counter,"Logistics step, picking up an object.",r002,Cooking,,silver,918.9090252666668,2026-03-03T21:40:45.554283Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,no
Object Transfer,14074,6,6,,2026-03-03T21:40:46.409427Z,3,10051,,no,0,0.0,0,1150083,0.355,#C C drops the sponge in the a container,drops sponge in container,"[CtxFixed] The action of dropping the sponge into a container indicates a deliberate placement of the object, which fits the definition of Object Transfer.",r002,Cooking,,silver,966.4971052666668,2026-03-03T21:40:46.409440Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,no
Object Transfer,14075,6,6,,2026-03-03T21:40:47.337702Z,4,6535,,no,0,0.0,0,1150084,0.358,#C C drops the sponge on the counter,drops sponge on counter,Refined via regex fallback,r002,Cooking,,silver,1011.7520652666668,2026-03-03T21:40:47.337728Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,no
Object Transfer,14076,6,6,,2026-03-03T21:40:48.786137Z,3,9182,watchlist_verb,yes,0,0.0,0,1150085,1.648,#C C moves toaster,moves toaster,"Logistics/moving an object (toaster), short burst of hand activity.",r002,Cooking,,silver,1181.3846852666666,2026-03-03T21:40:50.103485Z,,cf7c12db-1a9e-46d3-96d6-38174bbe373c,yes
Object Transfer,14077,6,6,,2026-03-03T21:40:51.221917Z,3,11276,,no,0,0.0,0,1150086,0.553,#C C picks oil container,picks oil container,"Logistics/Setup step, picking up an object.",r002,Cooking,,silver,1321.4634552666666,2026-03-03T21:40:51.221933Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,no
Essential Operation,14078,6,6,,2026-03-03T21:40:52.178758Z,3,11921,,no,0,0.0,0,1150087,0.433,#C C pours oil in the container,pours oil in container,Core task involving manual operation with high hand activity.,r002,Cooking,,silver,1348.2554252666666,2026-03-03T21:40:52.178773Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,no
Object Transfer,14079,6,6,,2026-03-03T21:40:53.095141Z,3,9015,watchlist_verb,yes,0,0.0,0,1150088,0.464,#C C moves bottle container,moves bottle container,Logistics step involving moving an object.,r002,Cooking,,silver,1517.0241052666663,2026-03-03T21:40:53.095162Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,yes
Object Transfer,14080,6,6,,2026-03-03T21:40:54.201190Z,5,4308,watchlist_verb,yes,0,0.0,0,1150089,0.481,#C C moves plastic bag,moves plastic bag,Logistics step involving moving an object.,r002,Cooking,,silver,1564.7216152666667,2026-03-03T21:40:54.201214Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,yes
Essential Operation,14081,6,6,,2026-03-03T21:40:55.424617Z,3,9650,,no,0,0.0,0,1150090,0.616,#C C cleans pan with hand,cleans pan with hand,Core manual task involving high hand activity.,r002,Cooking,,silver,1648.4414152666666,2026-03-03T21:40:55.424640Z,,cf7c12db-1a9e-46d3-96d6-38174bbe373c,no
Stationary,14082,6,6,,2026-03-03T21:40:56.522093Z,3,8721,watchlist_verb,yes,0,0.0,0,1150091,0.419,#C C closes tap water,closes tap water,Closing a tap involves minimal body movement and is a brief action.,r002,Cooking,,silver,1782.1712852666667,2026-03-03T21:40:56.522116Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,yes
Essential Operation,14083,6,6,,2026-03-03T21:40:57.699806Z,3,9651,,no,0,0.0,0,1150092,0.491,#C C cleans pan with paper towel,cleans pan with paper towel,Core task involving high hand activity.,r002,Cooking,,silver,1861.0345552666663,2026-03-03T21:40:57.699829Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,no
Object Transfer,14084,6,6,,2026-03-03T21:40:59.782867Z,3,8627,watchlist_verb,yes,0,0.0,0,1150093,0.707,#C C adjusts pan on sink,adjusts pan on sink,Logistics step involving moving the pan to a specific location.,r002,Cooking,,silver,1864.4713852666664,2026-03-03T21:40:59.782894Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,yes
Essential Operation,14085,6,6,,2026-03-03T21:41:04.773160Z,4,8459,,no,0,0.0,0,1150094,2.318,#C C washes a knife using a sponge,washes knife using sponge,Core manual task involving high hand activity.,r002,Cooking,,silver,3863.812511933333,2026-03-03T21:41:04.773190Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,no
Object Transfer,14086,6,6,,2026-03-03T21:41:06.338070Z,4,7831,,no,0,0.0,0,1150095,0.804,#C C puts a sponge in water,puts sponge in water,Logistics step involving picking up and placing the sponge.,r002,Cooking,,silver,3921.941571933333,2026-03-03T21:41:06.338112Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,no
Essential Operation,14087,6,6,,2026-03-03T21:41:07.606540Z,5,5754,,no,0,0.0,0,1150096,0.477,#C C washes a kitchen counter,washes kitchen counter,Core task involving repetitive hand movements.,r002,Cooking,,silver,3997.775551933333,2026-03-03T21:41:07.606554Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,no
Essential Operation,14088,6,6,,2026-03-03T21:41:09.566797Z,4,8061,,no,0,0.0,0,1150097,0.558,#C C scrubs counter top with sponge,scrubs counter top with sponge,Core manual task involving high hand activity.,r002,Cooking,,silver,4074.448661933333,2026-03-03T21:41:09.566824Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,no
Essential Operation,14089,6,6,,2026-03-03T21:41:10.626121Z,4,8148,,no,0,0.0,0,1150098,0.579,#C C squeezes sponge in the sink,squeezes sponge in sink,Core task involving high hand activity.,r002,Cooking,,silver,4081.744581933333,2026-03-03T21:41:10.626144Z,Gold,cf7c12db-1a9e-46d3-96d6-38174bbe373c,no
Object Transfer,14090,6,6,,2026-03-03T21:41:11.618235Z,3,11222,,no,0,0.0,0,1150099,0.466,#C C picks the hand drill from the floor.,picks hand drill from floor,Logistics step involving picking up an object.,r002,Carpentry,,silver,153.4626096,2026-03-03T21:41:11.618258Z,Gold,d1f59fb1-5f81-4bd4-b3f1-81d69ab71ef6,no
Object Transfer,14091,6,6,,2026-03-03T21:41:12.619367Z,4,7394,,no,0,0.0,0,1150100,3.642,#C C places screw on the screw bit of the hand drill.,places screw on screw bit of hand drill,"Logistics step, placing screw on the drill bit.",r002,Carpentry,Essential Operation,silver,167.21261959999998,2026-03-03T21:41:17.125764Z,Gold,d1f59fb1-5f81-4bd4-b3f1-81d69ab71ef6,no
Search,14092,6,6,,2026-03-03T21:41:19.075579Z,4,6762,,no,0,0.0,0,1150101,1.23,#C C looks at the top of the table,looks at top of table,"Head movement (visual inspection), hands mostly still.",r002,Carpentry,,silver,308.4289709546634,2026-03-03T21:41:19.075594Z,Gold,d1f59fb1-5f81-4bd4-b3f1-81d69ab71ef6,no
Object Transfer,14093,6,6,,2026-03-03T21:41:20.951598Z,4,7193,,no,0,0.0,0,1150102,1.18,#C C picks a scissors from the floor.,picks scissors from floor,Logistics step involving picking up an object.,r002,Carpentry,,silver,561.74132762133,2026-03-03T21:41:20.951622Z,Gold,d1f59fb1-5f81-4bd4-b3f1-81d69ab71ef6,no
Essential Operation,14094,6,6,,2026-03-03T21:41:26.741961Z,3,8669,watchlist_verb,yes,0,0.0,0,1150103,5.278,#C C adjusts the wires with his hands.,adjusts wires with his hands,Core manual task involving high hand activity.,r002,Carpentry,,silver,576.72430762133,2026-03-03T21:41:26.741976Z,Gold,d1f59fb1-5f81-4bd4-b3f1-81d69ab71ef6,yes
Object Transfer,14095,6,6,,2026-03-03T21:41:27.822786Z,3,11091,,no,0,0.0,0,1150104,0.543,#C C picks the bunch of cable ties on the floor,picks bunch of cable ties on floor,Logistics step involving picking up an object.,r002,Carpentry,,silver,866.8939876213301,2026-03-03T21:41:27.822812Z,Gold,d1f59fb1-5f81-4bd4-b3f1-81d69ab71ef6,no
Object Transfer,14096,6,6,,2026-03-03T21:41:29.072520Z,3,9870,,no,0,0.0,0,1150105,0.479,#C C drops the bunch of cable ties,drops bunch of cable ties,"[CtxFixed] The action of dropping the bunch of cable ties is a deliberate placement onto a surface, which fits the criteria for 'Object Transfer'.",r002,Carpentry,,silver,868.1814376213301,2026-03-03T21:41:29.072534Z,Gold,d1f59fb1-5f81-4bd4-b3f1-81d69ab71ef6,no
Object Transfer,14097,6,6,,2026-03-03T21:41:38.712119Z,3,9089,watchlist_verb,yes,0,0.0,0,1150106,1.166,#C C moves his both hands under the table.,moves his both hands under table,"The action involves moving hands under the table, which is a logistics step.",r002,Carpentry,,silver,879.79800762133,2026-03-03T21:41:38.712138Z,Gold,d1f59fb1-5f81-4bd4-b3f1-81d69ab71ef6,yes
Locomotion,14098,6,6,,2026-03-03T21:41:39.757868Z,7,2599,,no,0,0.0,0,1150107,0.552,#c c crosses the zebra crossing,crosses zebra crossing,"Body moving through space, indicative of walking.",r002,Walking Outdoors,,silver,98.29395,2026-03-03T21:41:39.757891Z,Gold,d8e20ed1-1d88-49f1-afad-23fb519291ab,no
Locomotion,14043,6,6,,2026-03-03T21:39:33.528086Z,6,3358,,no,0,0.0,0,1150108,4.825,#c c crosses the tarmac road,crosses tarmac road,"Body moving through space, indicative of walking.",r002,Walking Outdoors,,silver,440.2864,2026-03-03T21:39:33.528124Z,Gold,d8e20ed1-1d88-49f1-afad-23fb519291ab,no
Stationary,14044,6,6,,2026-03-03T21:39:34.632610Z,3,8796,watchlist_verb,yes,0,0.0,0,1150109,0.438,#C C holds the flower pot with his left hand,holds flower pot with his left hand,"The action describes holding a pot, which involves minimal movement.",r002,Gardening,,silver,25.0209396,2026-03-03T21:39:34.632635Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,yes
Essential Operation,14045,6,6,,2026-03-03T21:39:35.534980Z,6,3313,,no,0,0.0,0,1150110,0.39,#C C blows air into the glove,blows air into glove,Core manual task involving hand activity.,r002,Gardening,,silver,56.4119796,2026-03-03T21:39:35.535002Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Stationary,14046,6,6,,2026-03-03T21:39:36.762831Z,3,9548,,no,0,0.0,0,1150111,0.51,#C C brings down his hands,brings down his hands,"The action describes a static movement, likely indicating a pause or idle state with minimal motion.",r002,Gardening,,silver,324.1954009546634,2026-03-03T21:39:36.762844Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Object Transfer,14047,6,6,,2026-03-03T21:39:37.890038Z,3,9438,,no,0,0.0,0,1150112,0.474,#C C adds the uprooted plants to the ones on his left hand,adds uprooted plants to ones on his left hand,Logistics step involving picking up and placing objects.,r002,Gardening,,silver,385.7014609546634,2026-03-03T21:39:37.890061Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Object Transfer,14048,6,6,,2026-03-03T21:39:39.804434Z,4,7258,,no,0,0.0,0,1150113,1.223,#C C picks up the hand trowel with his right hand,picks up hand trowel with his right hand,Logistics action involving picking up an object.,r002,Gardening,,silver,533.83142562133,2026-03-03T21:39:39.804470Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Object Transfer,14049,6,6,,2026-03-03T21:39:40.997178Z,4,6479,,no,0,0.0,0,1150114,0.672,#C C drops the hand trowel in a flower pot,drops hand trowel in flower pot,"[CtxFixed] The action of dropping the hand trowel into the flower pot is a deliberate placement, which fits the criteria for 'Object Transfer'.",r002,Gardening,,silver,607.5990876213301,2026-03-03T21:39:40.997193Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Object Transfer,14050,6,6,,2026-03-03T21:39:42.161520Z,4,8265,,no,0,0.0,0,1150115,0.558,#C C takes out sand from the sack into the flower pot using the hand trowel,takes out sand from sack into flower pot using hand trowel,Logistics step involving moving sand from a sack to a flower pot.,r002,Gardening,,silver,666.0018676213301,2026-03-03T21:39:42.161548Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Object Transfer,14051,6,6,,2026-03-03T21:39:43.426631Z,4,7270,,no,0,0.0,0,1150116,0.628,#C C picks up a plant from the table with his right hand,picks up plant from table with his right hand,Logistics step involving picking up an object.,r002,Gardening,,silver,858.7995276213301,2026-03-03T21:39:43.426664Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Object Transfer,14052,6,6,,2026-03-03T21:39:44.700300Z,4,7772,,no,0,0.0,0,1150117,0.477,#C C puts the plant into the flower pot,puts plant into flower pot,Logistics step involving the placement of an object.,r002,Gardening,,silver,870.73974762133,2026-03-03T21:39:44.700330Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Object Transfer,14053,6,6,,2026-03-03T21:39:45.785481Z,4,7290,,no,0,0.0,0,1150118,0.447,#C C picks up the trowel from the table,picks up trowel from table,"Logistics/Setup step, involves picking up an object.",r002,Gardening,,silver,881.14562762133,2026-03-03T21:39:45.785517Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Object Transfer,14054,6,6,,2026-03-03T21:39:46.904374Z,4,8046,,no,0,0.0,0,1150119,0.485,#C C scoops soil from the bag,scoops soil from bag,Logistics step involving picking up and transferring soil.,r002,Gardening,,silver,884.32693762133,2026-03-03T21:39:46.904397Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Object Transfer,14055,6,6,,2026-03-03T21:39:48.783049Z,9,1689,,no,0,0.0,0,1150120,1.039,#C C drops the trowel on the table,drops trowel on table,Refined via regex fallback,r002,Gardening,,silver,897.53828762133,2026-03-03T21:39:48.783073Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Essential Operation,14056,6,6,,2026-03-03T21:39:50.318000Z,5,5219,,no,0,0.0,0,1150121,0.689,#C C presses the soil in the flower pot with his hands,presses soil in flower pot with his hands,Core task involving high hand activity.,r002,Gardening,,silver,900.44030762133,2026-03-03T21:39:50.318023Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Object Transfer,14057,6,6,,2026-03-03T21:39:51.999942Z,10,1447,,no,0,0.0,0,1150122,0.75,#C C picks a plant from the table,picks plant from table,Logistics step involving picking up an object.,r002,Gardening,,silver,1039.89898762133,2026-03-03T21:39:51.999955Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Object Transfer,14058,6,6,,2026-03-03T21:39:53.498003Z,11,1292,,no,0,0.0,0,1150123,0.872,#C C takes soil from the polythene bag,takes soil from polythene bag,Logistics step involving picking up and transferring soil.,r002,Gardening,,silver,1096.6172242879966,2026-03-03T21:39:53.498029Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Essential Operation,14059,6,6,,2026-03-03T21:39:55.645912Z,4,7473,,no,0,0.0,0,1150124,1.364,#C C pours the soil in the second planter,pours soil in second planter,Core task involving high hand activity.,r002,Gardening,,silver,1103.2954042879967,2026-03-03T21:39:55.645935Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Object Transfer,14060,6,6,,2026-03-03T21:39:57.126966Z,10,1448,,no,0,0.0,0,1150125,0.796,#C C picks the plant on the table,picks plant on table,Logistics action of picking up an object.,r002,Gardening,,silver,1115.9245742879966,2026-03-03T21:39:57.126982Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Object Transfer,14061,6,6,,2026-03-03T21:39:58.830413Z,3,11325,,no,0,0.0,0,1150126,1.131,#C C picks the plant on the table with his right hand,picks plant on table with his right hand,Logistics step involving picking up the plant.,r002,Gardening,,silver,1133.2886342879965,2026-03-03T21:39:58.830437Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Essential Operation,14062,6,6,,2026-03-03T21:40:00.271892Z,6,3320,,no,0,0.0,0,1150127,0.855,#C C breaks the root of the plant,breaks root of plant,Core manual task involving high hand activity.,r002,Gardening,,silver,1142.6857542879966,2026-03-03T21:40:00.271917Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Object Transfer,14063,6,6,,2026-03-03T21:40:09.290219Z,3,8638,watchlist_verb,yes,0,0.0,0,1150128,1.951,#C C adjusts the plant in the second planter,adjusts plant in second planter,"Logistics step, moving the plant to a new location.",r002,Gardening,,silver,1171.8949542879966,2026-03-03T21:40:09.290234Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,yes
Essential Operation,14064,6,6,,2026-03-03T21:40:11.806324Z,3,9740,,no,0,0.0,0,1150129,1.236,#C C cuts the excess root off the plant.,cuts excess root off plant,"Core task, high hand activity.",r002,Gardening,,silver,1384.683374287997,2026-03-03T21:40:11.806347Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Object Transfer,14065,6,6,,2026-03-03T21:40:13.225497Z,4,7173,,no,0,0.0,0,1150130,0.591,#C C picks a plant from the plant vase.,picks plant from plant vase,Logistics step of picking up an object.,r002,Gardening,,silver,1394.1379542879968,2026-03-03T21:40:13.225520Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Object Transfer,14066,6,6,,2026-03-03T21:40:20.788228Z,7,2993,,no,0,0.0,0,1150131,1.124,#C C removes a plant from the plant vase.,removes plant from plant vase,Logistics step involving picking up and putting down objects.,r002,Gardening,,silver,1477.1099142879966,2026-03-03T21:40:20.788255Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Object Transfer,14067,6,6,,2026-03-03T21:40:21.961139Z,6,3738,,no,0,0.0,0,1150132,0.509,#C C places the plant on the plant plate.,places plant on plant plate,Logistics step involving the placement of an object.,r002,Gardening,,silver,1494.3063742879967,2026-03-03T21:40:21.961162Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Stationary,14068,6,6,,2026-03-03T21:40:28.228206Z,9,1574,watchlist_verb,yes,0,0.0,0,1150133,3.919,#C C adjusts the bag.,adjusts bag,Adjusting the bag typically involves minor adjustments and does not involve significant body or hand motion.,r002,Gardening,,silver,1604.320548954663,2026-03-03T21:40:28.228240Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,yes
Essential Operation,14099,6,6,,2026-03-03T21:41:40.801458Z,6,3770,,no,0,0.0,0,1150134,0.393,#C C pours the sand into the planter.,pours sand into planter,Core task involving high hand activity.,r002,Gardening,,silver,1638.046500954663,2026-03-03T21:41:40.801481Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Object Transfer,14100,6,6,,2026-03-03T21:41:41.905117Z,5,4958,,no,0,0.0,0,1150135,0.52,#C C picks the garden trowel with his right hand.,picks garden trowel with his right hand,Logistics action of picking up an object.,r002,Gardening,,silver,1649.8500709546634,2026-03-03T21:41:41.905141Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Stationary,14101,6,6,,2026-03-03T21:41:46.380642Z,4,5984,watchlist_verb,yes,0,0.0,0,1150136,1.152,#C C holds the plastic bag with his left hand.,holds plastic bag with his left hand,"Holding the bag is a low-energy, stationary action.",r002,Gardening,,silver,1709.8997109546633,2026-03-03T21:41:46.380664Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,yes
Object Transfer,14102,6,6,,2026-03-03T21:41:47.312213Z,9,1807,,no,0,0.0,0,1150137,0.489,#C C picks up a plant on the table with his right hand.,picks up plant on table with his right hand,Logistics step of picking up an object.,r002,Gardening,,silver,1733.2642209546634,2026-03-03T21:41:47.312236Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Essential Operation,14103,6,6,,2026-03-03T21:41:48.419660Z,3,11932,,no,0,0.0,0,1150138,3.134,#C C pours the soil in the vase,pours soil in vase,Core task involving active hand movement.,r002,Gardening,Object Transfer,silver,1906.938330954664,2026-03-03T21:41:52.758506Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Object Transfer,14104,6,6,,2026-03-03T21:41:54.366743Z,3,11324,,no,0,0.0,0,1150139,0.778,#C C picks a plant from the table with his right hand,picks plant from table with his right hand,Logistics step involving picking up an object.,r002,Gardening,,silver,1921.126890954664,2026-03-03T21:41:54.366757Z,Gold,d9941963-10dd-49bc-badc-998c88cf1e18,no
Object Transfer,14105,6,6,,2026-03-03T21:41:56.274311Z,12,960,,no,0,0.0,0,1150140,0.719,#C C drops the boxer on the bed,drops boxer on bed,"[CtxFixed] The action of dropping the boxer onto the bed is a deliberate placement, which fits the criteria for Object Transfer.",r002,Cleaning,,silver,16.294448600000003,2026-03-03T21:41:56.274334Z,Gold,e42aa8c5-561b-4e53-84cb-b4192db92ab6,no
Object Transfer,14106,6,6,,2026-03-03T21:41:57.912685Z,6,3441,,no,0,0.0,0,1150141,0.564,#C C drops the stockings on the bed,drops stockings on bed,"[CtxFixed] The action involves deliberately placing the stockings on the bed, which fits the definition of an Object Transfer.",r002,Cleaning,,silver,149.36739859999997,2026-03-03T21:41:57.912710Z,Gold,e42aa8c5-561b-4e53-84cb-b4192db92ab6,no
Object Transfer,14107,6,6,,2026-03-03T21:41:58.813825Z,3,11432,,no,0,0.0,0,1150142,0.428,#C C picks the stockings from the bed,picks stockings from bed,Logistics step involving picking up an object.,r002,Cleaning,,silver,174.9852186,2026-03-03T21:41:58.813839Z,Gold,e42aa8c5-561b-4e53-84cb-b4192db92ab6,no
Essential Operation,14108,6,6,,2026-03-03T21:41:59.816620Z,7,3026,,no,0,0.0,0,1150143,0.52,#C C spreads the T-shirt,spreads t shirt,Core manual task involving high hand activity.,r002,Cleaning,,silver,277.8344186,2026-03-03T21:41:59.816635Z,Gold,e42aa8c5-561b-4e53-84cb-b4192db92ab6,no
Stationary,14109,6,6,Object Transfer,2026-03-03T21:42:00.822797Z,9,1946,,no,0,0.0,0,1150144,6.5760000000000005,#C C turns the T-shirt,turns t shirt,"Low body/hand motion, likely involves fine manipulation.",r002,Cleaning,Essential Operation,silver,296.873131735707,2026-03-03T21:42:08.319055Z,Bad,e42aa8c5-561b-4e53-84cb-b4192db92ab6,no
